,index,genre,title,url,artist,weekly_views,all_views,artist_url
29,10,Classical,Broke Crypts,https://soundcloud.com/user-106913196/broke-crypts,Donetta Mdonah,4019.0,40250.0,https://soundcloud.com/user-106913196
30,1,Country,Zombiez (feat. Landon Cube),https://soundcloud.com/kill-turbo/zombiez-feat-landon-cube,Turbo,140885.0,500280.0,https://soundcloud.com/kill-turbo
31,2,Country,Wasted On You,https://soundcloud.com/morgan-wallen/wasted-on-you,Morgan Wallen,49154.0,1402511.0,https://soundcloud.com/morgan-wallen
32,3,Country,Marca MP - Me Estoy Enamorando,https://soundcloud.com/regionalmexicanochingon/marca-mp-me-estoy-enamorando,Pura Musica Chingona Del Regional,32540.0,282806.0,https://soundcloud.com/regionalmexicanochingon
33,4,Country,Marca MP - Ya Acabo 2021,https://soundcloud.com/regionalmexicanochingon/marca-mp-ya-acabo,Pura Musica Chingona Del Regional,32342.0,236330.0,https://soundcloud.com/regionalmexicanochingon
34,5,Country,Sand In My Boots,https://soundcloud.com/morgan-wallen/sand-in-my-boots,Morgan Wallen,31691.0,1110837.0,https://soundcloud.com/morgan-wallen
35,6,Country,Marca MP - Escuela De La Vida,https://soundcloud.com/regionalmexicanochingon/marca-mp-escuela-de-la-vida,Pura Musica Chingona Del Regional,29241.0,113222.0,https://soundcloud.com/regionalmexicanochingon
36,7,Country,Around Forever,https://soundcloud.com/randallkingmusic/around-forever,Randall King,24922.0,804671.0,https://soundcloud.com/randallkingmusic
37,8,Country,haunt u w/lil peep,https://soundcloud.com/mysticphonk/lil-peep-haunt-u-prod-by-mysticphonk,mysticphonk,24791.0,22719840.0,https://soundcloud.com/mysticphonk
38,9,Country,Dirt Road,https://soundcloud.com/thekiddg/dirt-road,Kidd G,24485.0,3502076.0,https://soundcloud.com/thekiddg
39,10,Country,Diplo feat. Morgan Wallen - Heartless,https://soundcloud.com/diplo/diplo-feat-morgan-wallen,Diplo,23282.0,5899352.0,https://soundcloud.com/diplo
40,1,Dance & EDM,"2F Big Bootie Mix, Volume 18 - Two Friends",https://soundcloud.com/bigbootiemix/bb18,Two Friends Big Bootie Mix,61946.0,5074087.0,https://soundcloud.com/bigbootiemix
